Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
k__Bacteria;p__FBP	0.000108964	0.000140745	0.000122584	2.27E-05	5.45E-05	1.82E-05	1.82E-05	3.63E-05	3.63E-05	4.99E-05	4.54E-05	4.99E-05	9.53E-05	6.81E-05	6.81E-05	3.63E-05	0.000227008	0.000177066
k__Bacteria;p__FCPU426	0.00302374	0.002215594	0.005520823	0.004231421	0.004167858	0.008839674	0.016389944	0.002043068	0.001357505	3.18E-05	0.009316389	0.003041901	0.000177066	9.08E-05	0.002942018	0.003722924	0.000658322	0.000426774
k__Bacteria;p__Fibrobacteres	9.99E-05	9.99E-05	8.17E-05	2.27E-05	6.36E-05	7.26E-05	3.18E-05	0.000994293	4.09E-05	2.27E-05	9.53E-05	4.54E-05	0.000127124	3.18E-05	8.63E-05	0.000177066	0.00031327	6.36E-05
k__Bacteria;p__Firmicutes	0.007459468	0.008930477	0.004499289	0.003945391	0.003518617	0.003564018	0.009211966	0.009084842	0.004630954	0.023881193	0.002910237	0.002038528	0.0144513	0.009207426	0.005398239	0.018160603	0.006669482	0.005180312
k__Bacteria;p__Fusobacteria	0	0	4.54E-06	0	0	4.54E-06	0	0	0	0	0	0	1.36E-05	0	0	0	0	0
k__Bacteria;p__GAL15	0.000426774	0.000108964	0.000213387	0.000876249	1.36E-05	0.000167986	0.000213387	0	0.001884163	0.000653782	1.82E-05	0.000880789	0.000844468	0.000490336	0.000195226	4.54E-06	9.08E-06	0.000131664
k__Bacteria;p__GN02	5.90E-05	2.72E-05	9.08E-06	6.81E-05	9.08E-06	9.08E-06	1.36E-05	1.82E-05	9.08E-06	9.08E-06	4.54E-06	9.08E-06	8.63E-05	1.82E-05	9.08E-06	7.72E-05	5.45E-05	1.36E-05
k__Bacteria;p__GN04	0.000113504	0.000349592	9.08E-05	6.36E-05	0.000140745	4.09E-05	3.63E-05	0.000744585	0.000136205	6.81E-05	0	1.82E-05	0.001135038	8.17E-05	9.08E-05	9.08E-05	3.18E-05	0.000345051
k__Bacteria;p__GOUTA4	5.45E-05	2.27E-05	1.36E-05	4.54E-06	2.72E-05	0	1.82E-05	1.82E-05	4.54E-06	1.82E-05	4.54E-06	0	4.54E-05	9.08E-06	0	0	4.54E-06	0
k__Bacteria;p__Gemmatimonadetes	0.011350377	0.008589965	0.008712549	0.007123497	0.005933977	0.003949931	0.006537817	0.017561303	0.0030192	0.002020367	0.004090676	0.001439228	0.015186805	0.011359457	0.004876122	0.007087175	0.018473874	0.008816973
k__Bacteria;p__LCP-89	0	0	0	0	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__LD1	0	0	4.54E-06	0	0	0	0	0	0	4.54E-06	0	0	0	0	0	0	0	1.36E-05
k__Bacteria;p__Lentisphaerae	0	0	0	0	0	0	4.54E-06	9.08E-06	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__MVS-104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	0	0	0
k__Bacteria;p__NC10	0.000136205	0.000145285	0.000172526	2.27E-05	0.000108964	2.27E-05	3.18E-05	2.72E-05	7.72E-05	1.36E-05	4.54E-06	2.72E-05	9.08E-05	8.17E-05	8.63E-05	3.63E-05	1.82E-05	0.000149825
k__Bacteria;p__NKB19	2.27E-05	2.27E-05	1.82E-05	0	1.82E-05	0	0	4.54E-05	4.54E-05	2.27E-05	4.54E-06	1.36E-05	8.63E-05	0	1.36E-05	2.27E-05	9.08E-06	3.18E-05
k__Bacteria;p__Nitrospirae	0.015690761	0.015999492	0.008063308	0.001970425	0.011000785	0.001788819	0.005470882	0.032457538	0.009697762	0.003682062	0.001298483	0.003791026	0.036816083	0.016271901	0.00902128	0.011922436	0.016426266	0.01024258
k__Bacteria;p__OD1	0.000622001	0.00028603	0.000948892	0.001861462	0.000685563	0.000349592	0.002306397	0.002365419	6.81E-05	6.36E-05	0.000758205	9.99E-05	0.000812687	0.000372292	0.000385913	0.002074849	0.000567519	0.000535738
k__Bacteria;p__OP11	9.08E-05	0.000145285	1.82E-05	9.08E-06	1.36E-05	1.36E-05	2.27E-05	6.36E-05	4.54E-05	2.72E-05	1.82E-05	1.36E-05	0.000140745	4.99E-05	3.18E-05	4.99E-05	1.36E-05	9.08E-06
k__Bacteria;p__OP3	0.000440395	0.000653782	0.000227008	0.001098716	0.000490336	2.72E-05	0.000721884	0.001030614	0.000254248	9.08E-05	9.53E-05	7.26E-05	0.000331431	5.45E-05	0.000204307	0.000190686	0.000354132	0.000322351
k__Bacteria;p__OctSpA1-106	0	0	0	0	0	0	0	0	0	0	0	0	0.000254248	0	1.36E-05	0	0	0
k__Bacteria;p__PAUC34f	4.54E-06	0	0	0	0	0	0	0	9.08E-06	0	0	0	0	0	0	9.08E-06	0	0
k__Bacteria;p__Planctomycetes	0.025229618	0.027213664	0.038641224	0.025234158	0.026623444	0.036180462	0.025420304	0.051866683	0.012231166	0.006151904	0.0234862	0.006447014	0.023926595	0.015826966	0.011295895	0.022006111	0.056375053	0.033815043
k__Bacteria;p__Proteobacteria	0.32632334	0.299967765	0.253081627	0.204606437	0.260436672	0.240564432	0.218113386	0.392477878	0.166964047	0.113412968	0.227761206	0.132835733	0.389653904	0.137525709	0.212969395	0.198309248	0.242253368	0.288195154
k__Bacteria;p__SAR406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	0	0	0
k__Bacteria;p__SBR1093	0	0	7.26E-05	0	4.54E-06	0.000190686	0	0	0	0.000399533	2.72E-05	5.45E-05	0.006233627	0.002660528	0.004862502	0.002851215	0	0
k__Bacteria;p__SC4	3.18E-05	0	9.08E-06	0	9.08E-06	0	0	4.54E-06	2.27E-05	1.36E-05	0	0	9.08E-06	2.27E-05	0	9.08E-06	0	2.27E-05
k__Bacteria;p__SR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0
k__Bacteria;p__Spirochaetes	0.000567519	0.000358672	0.000622001	0.00331885	0.000780906	0.000685563	0.001157738	0.000808147	0.00031327	0.000190686	0.000367752	7.26E-05	0.000363212	6.36E-05	0.000749125	0.000186146	0.000458555	0.00031327
k__Bacteria;p__TM6	0.005289276	0.00059022	0.007159818	0.001888703	0.005044108	0.003745624	0.010333383	0.003405113	0.00061292	9.08E-05	0.00210209	0.000503957	0.000762745	0.000417694	0.001965885	0.003368792	0.001443768	0.002610587
k__Bacteria;p__TM7	6.36E-05	0.000272409	0.000249708	0.000186146	0.000213387	0.000272409	0.000163445	9.08E-05	0	2.72E-05	7.72E-05	0	8.17E-05	5.90E-05	4.09E-05	4.09E-05	0.000249708	0.000376833
k__Bacteria;p__Tenericutes	0	2.72E-05	0	0	4.54E-06	0	4.54E-06	4.54E-06	0	0	0	0	0	4.54E-06	0	0	0	0
k__Bacteria;p__Verrucomicrobia	0.067670948	0.069455227	0.085118748	0.063425907	0.06681286	0.036684419	0.062808446	0.086508034	0.017983537	0.02497537	0.061809613	0.015282148	0.038577662	0.032788969	0.041524219	0.099983201	0.173964959	0.088346795
k__Bacteria;p__WPS-2	0.002783112	0.003672982	0.003205346	0.005548064	0.004004413	0.001843301	0.013121036	1.82E-05	0.027794803	0.007618373	0.012122203	0.002465302	0.000227008	0.004245041	0.001461929	0.002510703	5.45E-05	0.003178106
k__Bacteria;p__WS1	0	1.82E-05	4.09E-05	0	2.27E-05	0	9.08E-06	0	3.18E-05	0	4.54E-06	1.36E-05	4.99E-05	1.82E-05	9.08E-06	0	0	2.27E-05
k__Bacteria;p__WS2	1.36E-05	0	0	0	9.08E-06	0	0	1.36E-05	0	0	0	0	1.36E-05	1.36E-05	0	0	0	4.54E-06
k__Bacteria;p__WS3	0.004018033	0.003050981	0.001466469	0.00031327	0.001838761	0.000190686	0.000358672	0.009425353	0.00150733	0.000985213	0.000317811	0.000431314	0.002183813	0.001016994	0.001007913	0.000926191	0.011581925	0.00272409
k__Bacteria;p__WS4	0.000276949	0.000404073	0.000104423	3.63E-05	9.53E-05	0	1.36E-05	4.54E-06	6.36E-05	5.45E-05	1.36E-05	2.72E-05	0.00028603	4.09E-05	8.17E-05	7.72E-05	1.36E-05	0.000222467
k__Bacteria;p__WS5	9.08E-06	0	0	0	0	0	4.54E-06	0	0	0	0	0	0	0	4.54E-06	9.08E-06	0	0
k__Bacteria;p__WWE1	0.000104423	6.81E-05	1.36E-05	0	8.17E-05	0	0	1.36E-05	1.82E-05	1.82E-05	0	4.54E-06	4.99E-05	1.36E-05	1.82E-05	3.18E-05	2.72E-05	8.17E-05
k__Bacteria;p__[Caldithrix]	2.72E-05	0	0	0	1.36E-05	4.54E-06	4.54E-06	0	0	4.54E-06	0	0	4.09E-05	0	0	0	4.54E-06	1.36E-05
k__Bacteria;p__[Thermi]	0	9.08E-06	2.72E-05	0	0	0	0	0	2.27E-05	9.08E-06	0	9.08E-06	0.001861462	2.27E-05	0	2.27E-05	0	4.54E-06
