Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
k__Bacteria;p__Acidobacteria;c__AT-s54	0	9.08E-06	0	0	0	0	0	0.000208847	4.54E-06	0	0	0	1.36E-05	0	0	0	4.09E-05	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	0.01021988	0.007559351	0.012321969	0.003818267	0.005943057	0.00300558	0.005443641	0.019300181	0.003654821	0.002488003	0.003545858	0.004971465	0.006805686	0.005139451	0.003836427	0.007273322	0.010973545	0.008344797
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.011527443	0.010206259	0.009425353	0.007491249	0.007686475	0.004581012	0.005893116	0.055725811	0.004117917	0.002528864	0.003064602	0.001688936	0.009057601	0.003468675	0.00360034	0.005988459	0.039113399	0.00873525
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	0.08549558	0.101817422	0.148526494	0.225141539	0.162977794	0.130928869	0.187762477	0.017974457	0.019422765	0.021089001	0.20169166	0.137807198	0.007591132	0.091938054	0.079112128	0.238080969	0.068819606	0.1294397
k__Bacteria;p__Acidobacteria;c__BPC102	0.0030192	0.002565185	0.001339344	0.00031327	0.001348425	0.000222467	0.000381373	0.000699183	0.001066935	0.000635621	0.000222467	0.000354132	0.001834221	0.000653782	0.000780906	0.000785446	0.000267869	0.001775199
k__Bacteria;p__Acidobacteria;c__DA052	0.08217219	0.094884612	0.087883699	0.125258221	0.109077124	0.108695751	0.065441734	0.006342591	0.223452603	0.049178914	0.026664306	0.050767967	0.03972632	0.006596839	0.035794549	0.019754196	0.029833331	0.134515589
k__Bacteria;p__Acidobacteria;c__EC1113	1.82E-05	6.36E-05	0.001475549	0.0011986	0.000376833	0.000399533	0.001094176	0.001184979	4.54E-06	0.000122584	6.81E-05	0.000767285	0.001607213	0.000703723	0.002260995	0.000749125	0.000549358	0.000267869
k__Bacteria;p__Acidobacteria;c__GAL08	0	0	0	0	0	0	0	0	0	0	0	0	0.002524324	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Holophagae	0.00060384	0.000562979	0.000231548	0.000131664	0.000249708	0.000127124	0.000195226	0.00028603	0.000431314	0.000145285	7.26E-05	5.45E-05	0.000349592	0.000181606	0.000108964	0.000140745	5.90E-05	0.00029965
k__Bacteria;p__Acidobacteria;c__OS-K	0	4.54E-06	0	0	1.82E-05	0	0	0	0	0	0	0	4.99E-05	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__PAUC37f	0.001221301	0.001611754	0.000658322	0.000136205	0.000821767	0.000172526	0.000204307	0.006487876	0.000463095	0.000354132	9.99E-05	0.000167986	0.001271242	0.000376833	0.000567519	0.000481256	0.003432354	0.001003373
k__Bacteria;p__Acidobacteria;c__RB25	0.001166819	0.001089636	0.000549358	0.000158905	0.000472176	8.63E-05	0.000145285	0.008340257	0.000535738	0.000258789	0.000108964	0.000140745	0.000712804	0.000331431	0.000385913	0.000467636	0.006247248	0.000971592
k__Bacteria;p__Acidobacteria;c__S035	0.00031327	0.000199767	5.90E-05	1.82E-05	9.53E-05	3.18E-05	2.27E-05	0.000749125	7.72E-05	8.17E-05	2.72E-05	5.45E-05	0.000154365	7.72E-05	7.26E-05	4.99E-05	0.000703723	0.000154365
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.026074086	0.041269971	0.063952565	0.070317856	0.072506209	0.0987392	0.09390848	0.023495281	0.004263202	0.09090744	0.097595082	0.095601956	0.019885861	0.06592753	0.095552014	0.059276209	0.032098866	0.047598941
k__Bacteria;p__Acidobacteria;c__Sva0725	0.000535738	0.000431314	0.000631081	0.0036185	0.001057855	0.000145285	0.001248541	0.00631535	0.000213387	0.000127124	6.36E-05	4.99E-05	0.000345051	0.000167986	0.000440395	0.000567519	0.001076016	0.00392723
k__Bacteria;p__Acidobacteria;c__TM1	0.005207553	0.004458428	0.028711914	0.004231421	0.012839547	0.00420872	0.009298229	0.001057855	0.067947897	0.168471377	0.001384746	0.099656311	0.000154365	0.084678353	0.053514758	0.003781946	0.000227008	0.000281489
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.004617333	0.004703596	0.004258661	0.000626541	0.002964718	0.00090349	0.001012454	0.007908943	0.002142951	0.001121417	0.001670776	0.000880789	0.018296808	0.003050981	0.004276822	0.01143664	0.009189265	0.003686602
k__Bacteria;p__Acidobacteria;c__iii1-8	0.001788819	0.001139578	0.000458555	0.000435854	0.000444935	6.36E-05	0.000508497	0.003268909	0.000422234	0.000254248	0.000508497	0.000140745	0.00119406	0.000399533	0.000394993	0.001348425	0.003032821	0.000876249
k__Bacteria;p__Actinobacteria;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	9.08E-05	8.17E-05	9.08E-06	4.09E-05	9.08E-06	1.36E-05	3.63E-05	0.000317811	3.63E-05	1.36E-05	3.18E-05	0	7.72E-05	4.54E-06	4.54E-05	2.27E-05	0.000408614	7.72E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.024421471	0.055721271	0.01897329	0.031694793	0.01897783	0.028126234	0.026450919	0.018705421	0.020199131	0.032634604	0.057310324	0.002288236	0.005352838	0.017475041	0.007582052	0.033542634	0.031826457	0.029915054
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__MB-A2-108	0.000631081	0.000780906	0.000231548	0.000158905	0.000417694	2.72E-05	4.09E-05	0.004671815	0.00030419	0.000113504	5.45E-05	8.63E-05	0.001725257	0.000276949	0.000131664	0.001098716	0.004381246	0.000322351
k__Bacteria;p__Actinobacteria;c__OPB41	0.000935271	0.000740045	0.000340511	9.08E-05	0.000485796	6.81E-05	5.90E-05	0.00030873	0.000349592	0.000181606	9.08E-05	0.000140745	0.000667402	0.000190686	0.000272409	0.000399533	0.000167986	0.000744585
k__Bacteria;p__Actinobacteria;c__Rubrobacteria	0.000186146	2.27E-05	6.36E-05	0	4.09E-05	1.36E-05	1.36E-05	0.000140745	4.54E-05	1.36E-05	0	9.08E-06	0.053855269	9.08E-05	0	2.72E-05	2.72E-05	1.36E-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.011967838	0.014787271	0.015277608	0.01084642	0.00962058	0.022001571	0.008585425	0.033006896	0.015109622	0.008853294	0.022364783	0.000939811	0.007132577	0.016703215	0.00542548	0.029551842	0.039090699	0.011282275
k__Bacteria;p__Aquificae;c__Aquificae	0	0	0	0	0	0	0	0	0	0	0	0	6.36E-05	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__	0	0	0	0	0	0	0	0	0	0	0	0	0.00029057	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__0319-6E2	0.000149825	4.54E-05	0.000122584	0.000254248	6.81E-05	9.99E-05	0.000263329	0.000522117	1.82E-05	1.82E-05	0.000217927	0.000717344	0.001112337	0.000154365	0.000195226	0.000426774	0.000267869	4.99E-05
k__Bacteria;p__Armatimonadetes;c__Armatimonadia	0.000122584	0.000508497	0.001016994	0.000703723	0.001080556	0.000449475	0.001775199	1.82E-05	3.18E-05	0.000367752	0.002247375	6.36E-05	0	0.00030419	4.99E-05	0.000190686	0.000490336	0.0005993
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	0.00029965	0.000349592	0.001112337	0.00029057	0.000394993	0.002592426	0.000562979	0.000181606	0.006478795	0.003486836	0.000340511	0.000345051	0.001925024	0.001557272	0.000499417	0.000844468	0.000585679	0.00029057
k__Bacteria;p__Armatimonadetes;c__OPB50	0	0	4.54E-06	4.54E-06	1.82E-05	0	0	0	0	0	4.54E-06	0	0	0	0	0	4.54E-06	1.36E-05
k__Bacteria;p__Armatimonadetes;c__OS-L	0	0	0	0	0	0	0	0	0	0	0	0	0.000122584	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__SHA-37	5.45E-05	2.27E-05	2.72E-05	2.72E-05	2.72E-05	0	4.54E-06	4.54E-06	4.54E-05	0	0	0	2.27E-05	2.27E-05	9.08E-06	0	9.08E-06	7.26E-05
k__Bacteria;p__Armatimonadetes;c__SJA-176	0.002002207	0.001557272	0.000753665	0.000217927	0.001116877	0.000213387	0.000163445	0.000149825	0.000771826	0.000426774	0.000140745	0.000263329	0.001012454	0.000535738	0.000349592	0.000422234	0.000190686	0.001616294
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0.000404073	0.000222467	0.001825141	0.000930731	0.00029511	0.000862629	0.000258789	0.000163445	0.000154365	0.000131664	0.000490336	0.000340511	0.0650195	0.000381373	0.001380206	0.000118044	0.000444935	0.001280323
k__Bacteria;p__BHI80-139;c__	4.54E-06	4.99E-05	0.000254248	0.000136205	5.45E-05	4.54E-05	0.000254248	7.26E-05	0	0	7.26E-05	0	0	1.82E-05	9.08E-06	0.000195226	3.18E-05	1.82E-05
k__Bacteria;p__BRC1;c__	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__BRC1;c__NPL-UPA2	0	1.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__BRC1;c__PRR-11	4.54E-05	0.000113504	9.99E-05	0	3.63E-05	0	9.08E-06	1.82E-05	4.54E-05	2.27E-05	9.08E-06	3.18E-05	5.45E-05	9.08E-06	4.54E-05	2.72E-05	4.54E-06	0.000140745
k__Bacteria;p__Bacteroidetes;Other	4.99E-05	9.53E-05	0.00029057	9.08E-06	7.26E-05	4.54E-06	2.72E-05	4.09E-05	6.81E-05	3.18E-05	3.18E-05	3.18E-05	9.08E-06	0	2.27E-05	1.82E-05	3.18E-05	6.36E-05
k__Bacteria;p__Bacteroidetes;c__	0	0	0	0	0	0	0	0.000149825	0	0	0	0	0.000245168	0	0	9.08E-06	0	0
k__Bacteria;p__Bacteroidetes;c__At12OctB3	0	5.45E-05	0.000381373	0.000490336	0.000199767	0.000136205	0.000744585	2.72E-05	0	2.27E-05	0.00029057	0.000113504	5.90E-05	7.72E-05	1.36E-05	0.000145285	0.000331431	0.00030419
k__Bacteria;p__Bacteroidetes;c__BME43	3.18E-05	2.72E-05	9.08E-06	4.54E-06	4.54E-06	0	0	0	0	9.08E-06	1.82E-05	0	1.82E-05	2.72E-05	9.08E-06	9.08E-06	4.54E-06	3.63E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.069069314	0.060057115	0.034736694	0.005575305	0.035549381	0.004971465	0.008344797	0.010378785	0.024471413	0.015931389	0.007118956	0.011159691	0.053678203	0.021570257	0.019390984	0.01925478	0.009352711	0.044053083
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.009134783	0.005230254	0.005439101	0.004676355	0.004299523	0.004939684	0.012321969	0.01774745	0.001979506	0.001076016	0.003046441	0.001180439	0.005066808	0.001747958	0.004049815	0.002537944	0.019005071	0.003986252
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.002483463	0.002501623	0.001684396	0.000227008	0.001339344	0.000258789	0.000490336	0.003050981	0.000849008	0.000576599	0.00030419	0.000417694	0.001893243	0.000658322	0.000721884	0.000776366	0.002238294	0.001657155
k__Bacteria;p__Bacteroidetes;c__SM1A07	0	0	0	0	0	0	0	5.45E-05	0	0	0	0	0	0	0	3.63E-05	4.54E-06	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.010628493	0.008935017	0.016471667	0.012617079	0.015758864	0.005316517	0.028130775	0.022596331	0.003159945	0.003114543	0.010950844	0.002778572	0.007754578	0.004880662	0.005952138	0.009815806	0.017220792	0.01566352
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	0	4.54E-06	3.18E-05	9.08E-06	1.82E-05	0	0	2.72E-05	1.36E-05	2.27E-05	1.36E-05	0	0.000145285	0	4.54E-06	3.18E-05	0.000145285	1.36E-05
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]	2.27E-05	1.82E-05	0	0	0	0	0	1.82E-05	0	9.08E-06	0	0	0.000145285	4.54E-06	0	0	0	1.36E-05
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.045369727	0.040311999	0.046768094	0.015636279	0.038981735	0.053655502	0.028534848	0.028430424	0.0373382	0.011786232	0.040470904	0.012144903	0.039953327	0.015295768	0.019935802	0.022187717	0.064851514	0.037887559
k__Bacteria;p__Caldithrix;c__Caldithrixae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia	0.003405113	0.003396033	0.010959924	0.004444808	0.009861208	0.015236746	0.01714815	0.007736417	0.000971592	2.72E-05	0.005252955	0.001466469	0.000826307	0.000535738	0.002047608	0.008244914	0.003845508	0.003082762
k__Bacteria;p__Chlorobi;Other	0	0	0	0	0	0	0	1.36E-05	0	0	0	0	0	9.08E-06	0	0	0	0
k__Bacteria;p__Chlorobi;c__	0.000644701	0.000517577	0.001343885	0.002074849	0.000862629	0.000690103	0.004767158	0.00030419	0.000254248	9.08E-05	0.001026074	0.005974838	0.00060838	0.002088469	0.001312104	0.002960178	0.000998833	0.000967052
k__Bacteria;p__Chlorobi;c__BSV26	0.002201973	0.002015827	0.007550271	0.000236088	0.000980673	0.000562979	0.001085096	0.007277862	0.000957972	0.000535738	0.000222467	0.000458555	0.027331708	0.000490336	0.000631081	0.000572059	0.002805813	0.001638994
k__Bacteria;p__Chlorobi;c__Ignavibacteria	0.005498123	0.004494749	0.002451681	0.000494876	0.002510703	0.000490336	0.000835388	0.000789986	0.001965885	0.001384746	0.00061292	0.000871709	0.003654821	0.001343885	0.001380206	0.001489169	0.000481256	0.003427814
k__Bacteria;p__Chlorobi;c__OPB56	0.000349592	9.53E-05	0.000177066	9.08E-05	9.99E-05	4.54E-06	0.000535738	9.08E-05	4.09E-05	1.36E-05	4.09E-05	4.54E-06	0.000435854	4.54E-05	4.54E-05	0.000217927	5.45E-05	0.000240628
k__Bacteria;p__Chlorobi;c__SJA-28	0.004095216	0.00271955	0.001938644	0.000372292	0.001875082	0.000254248	0.000522117	0.00121222	0.00119406	0.000976132	0.000358672	0.000626541	0.00301012	0.001062395	0.001375666	0.00121222	0.0005993	0.00301466
k__Bacteria;p__Chloroflexi;Other	0	4.54E-06	0	0	0	0	0	0.000113504	0	0	0	0	4.54E-06	0	0	0	1.36E-05	4.54E-06
k__Bacteria;p__Chloroflexi;c__	0	0	0	0	0	0	0	2.72E-05	0	0	0	0	3.63E-05	9.08E-06	0	6.36E-05	9.08E-06	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae	0.024407851	0.022668973	0.010110916	0.003096383	0.00933001	0.002819434	0.003078222	0.022069673	0.00720976	0.003822807	0.002878456	0.002451681	0.022541849	0.005393699	0.007654694	0.015254907	0.009216506	0.013329883
k__Bacteria;p__Chloroflexi;c__C0119	0.00029965	0.000149825	9.99E-05	0.000108964	6.36E-05	3.63E-05	0.000177066	0.000703723	4.09E-05	3.18E-05	0.00059476	4.54E-06	5.90E-05	6.36E-05	0.000149825	0.000136205	0.00088987	5.45E-05
k__Bacteria;p__Chloroflexi;c__Chloroflexi	9.08E-05	0.000213387	4.54E-05	1.82E-05	1.82E-05	4.54E-06	1.36E-05	0.005012327	7.26E-05	4.99E-05	9.08E-06	1.82E-05	0.001593593	3.18E-05	4.54E-05	0.000444935	0.002610587	7.26E-05
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	0.000104423	0.00029965	0.000140745	2.27E-05	8.63E-05	3.63E-05	9.08E-06	5.45E-05	9.08E-05	3.63E-05	3.18E-05	5.45E-05	0.000163445	0.000104423	5.45E-05	0.000122584	4.54E-06	0.000272409
k__Bacteria;p__Chloroflexi;c__Ellin6529	0.001430148	0.000971592	0.000476716	0.000217927	0.000635621	0.000149825	0.000195226	0.009992872	0.006206386	0.00029057	0.000131664	0.000127124	0.001393826	0.000340511	0.000454015	0.000208847	0.005053188	0.000771826
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	0.000454015	0.000227008	9.99E-05	9.08E-06	0.000104423	4.54E-06	2.27E-05	0.000957972	8.17E-05	9.53E-05	1.36E-05	2.72E-05	0.000726424	0.000122584	2.72E-05	3.18E-05	0.000245168	0.000131664
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	0.051539792	0.026110407	0.018487494	0.093885779	0.046000808	0.073237173	0.053433035	0.007736417	0.050994974	0.087511407	0.094040144	0.166414688	0.000236088	0.242480375	0.198186664	0.08850116	0.012694262	0.018392151
k__Bacteria;p__Chloroflexi;c__P2-11E	9.99E-05	8.17E-05	4.54E-06	1.82E-05	0	0	9.08E-06	0.000340511	3.18E-05	0	0	0	2.72E-05	0	9.08E-06	0	0.00029057	2.72E-05
k__Bacteria;p__Chloroflexi;c__S085	0.000385913	0.000231548	0.000127124	4.54E-05	0.000195226	2.27E-05	5.45E-05	0.001838761	9.99E-05	8.63E-05	2.27E-05	3.63E-05	0.0036185	0.000131664	5.90E-05	0.000622001	0.000653782	0.000276949
k__Bacteria;p__Chloroflexi;c__SAR202	0	0	3.18E-05	6.81E-05	1.36E-05	0	4.54E-05	1.36E-05	4.54E-06	9.08E-06	4.54E-06	0	0.000186146	1.82E-05	0	1.82E-05	1.36E-05	0
k__Bacteria;p__Chloroflexi;c__SHA-26	9.08E-06	4.54E-06	0	0	9.08E-06	0	0	0	0	0	0	0	0	0	1.36E-05	2.72E-05	4.54E-06	0
k__Bacteria;p__Chloroflexi;c__TK10	0.002152031	0.000513037	0.000440395	0.001761579	0.00029057	0.001334804	0.000681023	0.003949931	0.000122584	0.000136205	0.002569725	0.000158905	0.000622001	0.000953432	0.000417694	0.001720717	0.001688936	0.00029057
k__Bacteria;p__Chloroflexi;c__TK17	0.000349592	0.000490336	0.000177066	0.000158905	0.000245168	6.36E-05	0.000236088	0.000549358	0.000163445	6.36E-05	0.000195226	6.81E-05	0.000662862	0.00029057	0.000263329	0.000363212	0.000236088	0.000394993
k__Bacteria;p__Chloroflexi;c__Thermomicrobia	0.000145285	6.36E-05	2.72E-05	7.72E-05	4.09E-05	5.90E-05	9.99E-05	0.000322351	0.000249708	1.36E-05	6.81E-05	2.27E-05	0.000190686	0.000186146	0.000145285	9.53E-05	0.000145285	2.72E-05
k__Bacteria;p__Cyanobacteria;c__	0	0	0	0	0	0	0	0	0	1.82E-05	1.82E-05	0	0	4.54E-06	0	0	0	0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.000494876	0.002038528	0.003277989	0.000953432	0.000581139	0.001997666	0.0018206	0.000499417	0.000331431	8.17E-05	0.002174732	0.004971465	0.007364125	0.002033988	0.002224674	0.001003373	0.000458555	0.001920484
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.003554938	0.013652234	0.002220134	0.001720717	0.001666235	0.057115097	0.002651448	0.003632121	0.008989499	0.037056711	0.046917919	0.004090676	0.002610587	0.00210209	0.0029965	0.010628493	0.009211966	0.000517577
k__Bacteria;p__Cyanobacteria;c__ML635J-21	0.000145285	6.81E-05	0.000390453	0.00030419	0.000231548	4.54E-06	8.17E-05	0.000113504	8.63E-05	0	2.27E-05	1.36E-05	0.000154365	0.00029057	7.72E-05	4.54E-06	0.000149825	2.72E-05
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	4.54E-06	9.53E-05	1.82E-05	0	1.82E-05	0.012226626	9.08E-06	0.000231548	2.72E-05	0	0.000671942	0.042591155	0.007032694	3.18E-05	0.007786359	0	1.82E-05	2.27E-05
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	0	0	0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	0	5.45E-05	0	0	9.08E-06	0.00120768	0	9.08E-06	2.27E-05	1.82E-05	8.17E-05	0.01023804	0.000744585	2.27E-05	0.001225841	0	0	0
k__Bacteria;p__Elusimicrobia;c__	0	0	0	0	0	0	0	0	0	4.54E-06	0	0	0	0	0	0	0	0
k__Bacteria;p__Elusimicrobia;c__4-29	0	1.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99E-05
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.006061101	0.0048171	0.007404986	0.020190051	0.011005326	0.00450383	0.009815806	0.004903363	0.003786486	0.000517577	0.005911276	0.000921651	0.001893243	0.001116877	0.001334804	0.003691143	0.009879368	0.006882869
k__Bacteria;p__Elusimicrobia;c__Endomicrobia	0.000463095	0.00029965	0.000195226	0.000503957	0.001293943	0.000131664	0.000349592	0.000204307	0.000104423	5.90E-05	0.000263329	9.53E-05	0.000195226	7.72E-05	0.000204307	0.000499417	9.08E-05	0.000431314
k__Bacteria;p__FBP;c__	0.000108964	0.000140745	0.000122584	2.27E-05	5.45E-05	1.82E-05	1.82E-05	3.63E-05	3.63E-05	4.99E-05	4.54E-05	4.99E-05	9.53E-05	6.81E-05	6.81E-05	3.63E-05	0.000227008	0.000177066
k__Bacteria;p__FCPU426;c__	0.00302374	0.002215594	0.005520823	0.004231421	0.004167858	0.008839674	0.016389944	0.002043068	0.001357505	3.18E-05	0.009316389	0.003041901	0.000177066	9.08E-05	0.002942018	0.003722924	0.000658322	0.000426774
k__Bacteria;p__Fibrobacteres;c__	0	0	0	0	0	0	0	9.08E-06	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	3.63E-05	4.99E-05	7.26E-05	2.27E-05	1.36E-05	5.45E-05	3.18E-05	0.000962512	3.18E-05	0	7.72E-05	4.54E-05	9.99E-05	1.36E-05	4.54E-05	0.000154365	0.00029511	4.54E-05
k__Bacteria;p__Fibrobacteres;c__SBZC_2415	0	9.08E-06	0	0	0	0	0	2.27E-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Fibrobacteres;c__TG3	6.36E-05	4.09E-05	9.08E-06	0	4.99E-05	1.82E-05	0	0	9.08E-06	2.27E-05	1.82E-05	0	2.72E-05	1.82E-05	4.09E-05	2.27E-05	1.82E-05	1.82E-05
k__Bacteria;p__Firmicutes;Other	0	0	9.08E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli	0.002442601	0.004590092	0.001988586	0.00180698	0.000858089	0.002901156	0.00723246	0.007237	0.001684396	0.021869907	0.002497083	0.001262162	0.010564931	0.007922563	0.003586719	0.016816719	0.005089509	0.001520951
k__Bacteria;p__Firmicutes;c__Clostridia	0.005016867	0.004340384	0.002501623	0.002138411	0.002660528	0.000662862	0.001979506	0.001847841	0.002946558	0.002011287	0.000413154	0.000776366	0.003886369	0.001284863	0.00181152	0.001343885	0.001579972	0.003659362
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0	0	4.54E-06	0	0	4.54E-06	0	0	0	0	0	0	1.36E-05	0	0	0	0	0
k__Bacteria;p__GAL15;c__	0.000426774	0.000108964	0.000213387	0.000876249	1.36E-05	0.000167986	0.000213387	0	0.001884163	0.000653782	1.82E-05	0.000880789	0.000844468	0.000490336	0.000195226	4.54E-06	9.08E-06	0.000131664
