Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
k__Bacteria;p__FCPU426	0.00302374	0.002215594	0.005520823	0.004231421	0.004167858	0.008839674	0.016389944	0.002043068	0.001357505	3.18e-05	0.009316389	0.003041901	0.000177066	9.08e-05	0.002942018	0.003722924	0.000658322	0.000426774
k__Bacteria;p__Fibrobacteres	9.99e-05	9.99e-05	8.17e-05	2.27e-05	6.36e-05	7.26e-05	3.18e-05	0.000994293	4.09e-05	2.27e-05	9.53e-05	4.54e-05	0.000127124	3.18e-05	8.63e-05	0.000177066	0.00031327	6.36e-05
k__Bacteria;p__Firmicutes	0.007459468	0.008930477	0.004499289	0.003945391	0.003518617	0.003564018	0.009211966	0.009084842	0.004630954	0.023881193	0.002910237	0.002038528	0.0144513	0.009207426	0.005398239	0.018160603	0.006669482	0.005180312
k__Bacteria;p__Fusobacteria	0	0	4.54e-06	0	0	4.54e-06	0	0	0	0	0	0	1.36e-05	0	0	0	0	0
k__Bacteria;p__GAL15	0.000426774	0.000108964	0.000213387	0.000876249	1.36e-05	0.000167986	0.000213387	0	0.001884163	0.000653782	1.82e-05	0.000880789	0.000844468	0.000490336	0.000195226	4.54e-06	9.08e-06	0.000131664
k__Bacteria;p__GN02	5.9e-05	2.72e-05	9.08e-06	6.81e-05	9.08e-06	9.08e-06	1.36e-05	1.82e-05	9.08e-06	9.08e-06	4.54e-06	9.08e-06	8.63e-05	1.82e-05	9.08e-06	7.72e-05	5.45e-05	1.36e-05
k__Bacteria;p__GN04	0.000113504	0.000349592	9.08e-05	6.36e-05	0.000140745	4.09e-05	3.63e-05	0.000744585	0.000136205	6.81e-05	0	1.82e-05	0.001135038	8.17e-05	9.08e-05	9.08e-05	3.18e-05	0.000345051
k__Bacteria;p__GOUTA4	5.45e-05	2.27e-05	1.36e-05	4.54e-06	2.72e-05	0	1.82e-05	1.82e-05	4.54e-06	1.82e-05	4.54e-06	0	4.54e-05	9.08e-06	0	0	4.54e-06	0
k__Bacteria;p__Gemmatimonadetes	0.011350377	0.008589965	0.008712549	0.007123497	0.005933977	0.003949931	0.006537817	0.017561303	0.0030192	0.002020367	0.004090676	0.001439228	0.015186805	0.011359457	0.004876122	0.007087175	0.018473874	0.008816973
k__Bacteria;p__LD1	0	0	4.54e-06	0	0	0	0	0	0	4.54e-06	0	0	0	0	0	0	0	1.36e-05
k__Bacteria;p__Lentisphaerae	0	0	0	0	0	0	4.54e-06	9.08e-06	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__NC10	0.000136205	0.000145285	0.000172526	2.27e-05	0.000108964	2.27e-05	3.18e-05	2.72e-05	7.72e-05	1.36e-05	4.54e-06	2.72e-05	9.08e-05	8.17e-05	8.63e-05	3.63e-05	1.82e-05	0.000149825
k__Bacteria;p__NKB19	2.27e-05	2.27e-05	1.82e-05	0	1.82e-05	0	0	4.54e-05	4.54e-05	2.27e-05	4.54e-06	1.36e-05	8.63e-05	0	1.36e-05	2.27e-05	9.08e-06	3.18e-05
k__Bacteria;p__Nitrospirae	0.015690761	0.015999492	0.008063308	0.001970425	0.011000785	0.001788819	0.005470882	0.032457538	0.009697762	0.003682062	0.001298483	0.003791026	0.036816083	0.016271901	0.00902128	0.011922436	0.016426266	0.01024258
k__Bacteria;p__OD1	0.000622001	0.00028603	0.000948892	0.001861462	0.000685563	0.000349592	0.002306397	0.002365419	6.81e-05	6.36e-05	0.000758205	9.99e-05	0.000812687	0.000372292	0.000385913	0.002074849	0.000567519	0.000535738
k__Bacteria;p__OP11	9.08e-05	0.000145285	1.82e-05	9.08e-06	1.36e-05	1.36e-05	2.27e-05	6.36e-05	4.54e-05	2.72e-05	1.82e-05	1.36e-05	0.000140745	4.99e-05	3.18e-05	4.99e-05	1.36e-05	9.08e-06
k__Bacteria;p__OP3	0.000440395	0.000653782	0.000227008	0.001098716	0.000490336	2.72e-05	0.000721884	0.001030614	0.000254248	9.08e-05	9.53e-05	7.26e-05	0.000331431	5.45e-05	0.000204307	0.000190686	0.000354132	0.000322351
k__Bacteria;p__OctSpA1-106	0	0	0	0	0	0	0	0	0	0	0	0	0.000254248	0	1.36e-05	0	0	0
k__Bacteria;p__PAUC34f	4.54e-06	0	0	0	0	0	0	0	9.08e-06	0	0	0	0	0	0	9.08e-06	0	0
k__Bacteria;p__Planctomycetes	0.025229618	0.027213664	0.038641224	0.025234158	0.026623444	0.036180462	0.025420304	0.051866683	0.012231166	0.006151904	0.0234862	0.006447014	0.023926595	0.015826966	0.011295895	0.022006111	0.056375053	0.033815043
k__Bacteria;p__Proteobacteria	0.32632334	0.299967765	0.253081627	0.204606437	0.260436672	0.240564432	0.218113386	0.392477878	0.166964047	0.113412968	0.227761206	0.132835733	0.389653904	0.137525709	0.212969395	0.198309248	0.242253368	0.288195154
k__Bacteria;p__SBR1093	0	0	7.26e-05	0	4.54e-06	0.000190686	0	0	0	0.000399533	2.72e-05	5.45e-05	0.006233627	0.002660528	0.004862502	0.002851215	0	0
k__Bacteria;p__SC4	3.18e-05	0	9.08e-06	0	9.08e-06	0	0	4.54e-06	2.27e-05	1.36e-05	0	0	9.08e-06	2.27e-05	0	9.08e-06	0	2.27e-05
k__Bacteria;p__Spirochaetes	0.000567519	0.000358672	0.000622001	0.00331885	0.000780906	0.000685563	0.001157738	0.000808147	0.00031327	0.000190686	0.000367752	7.26e-05	0.000363212	6.36e-05	0.000749125	0.000186146	0.000458555	0.00031327
k__Bacteria;p__TM6	0.005289276	0.00059022	0.007159818	0.001888703	0.005044108	0.003745624	0.010333383	0.003405113	0.00061292	9.08e-05	0.00210209	0.000503957	0.000762745	0.000417694	0.001965885	0.003368792	0.001443768	0.002610587
k__Bacteria;p__TM7	6.36e-05	0.000272409	0.000249708	0.000186146	0.000213387	0.000272409	0.000163445	9.08e-05	0	2.72e-05	7.72e-05	0	8.17e-05	5.9e-05	4.09e-05	4.09e-05	0.000249708	0.000376833
k__Bacteria;p__Tenericutes	0	2.72e-05	0	0	4.54e-06	0	4.54e-06	4.54e-06	0	0	0	0	0	4.54e-06	0	0	0	0
k__Bacteria;p__Verrucomicrobia	0.067670948	0.069455227	0.085118748	0.063425907	0.06681286	0.036684419	0.062808446	0.086508034	0.017983537	0.02497537	0.061809613	0.015282148	0.038577662	0.032788969	0.041524219	0.099983201	0.173964959	0.088346795
k__Bacteria;p__WPS-2	0.002783112	0.003672982	0.003205346	0.005548064	0.004004413	0.001843301	0.013121036	1.82e-05	0.027794803	0.007618373	0.012122203	0.002465302	0.000227008	0.004245041	0.001461929	0.002510703	5.45e-05	0.003178106
k__Bacteria;p__WS1	0	1.82e-05	4.09e-05	0	2.27e-05	0	9.08e-06	0	3.18e-05	0	4.54e-06	1.36e-05	4.99e-05	1.82e-05	9.08e-06	0	0	2.27e-05
k__Bacteria;p__WS2	1.36e-05	0	0	0	9.08e-06	0	0	1.36e-05	0	0	0	0	1.36e-05	1.36e-05	0	0	0	4.54e-06
k__Bacteria;p__WS3	0.004018033	0.003050981	0.001466469	0.00031327	0.001838761	0.000190686	0.000358672	0.009425353	0.00150733	0.000985213	0.000317811	0.000431314	0.002183813	0.001016994	0.001007913	0.000926191	0.011581925	0.00272409
k__Bacteria;p__WS4	0.000276949	0.000404073	0.000104423	3.63e-05	9.53e-05	0	1.36e-05	4.54e-06	6.36e-05	5.45e-05	1.36e-05	2.72e-05	0.00028603	4.09e-05	8.17e-05	7.72e-05	1.36e-05	0.000222467
k__Bacteria;p__WS5	9.08e-06	0	0	0	0	0	4.54e-06	0	0	0	0	0	0	0	4.54e-06	9.08e-06	0	0
k__Bacteria;p__WWE1	0.000104423	6.81e-05	1.36e-05	0	8.17e-05	0	0	1.36e-05	1.82e-05	1.82e-05	0	4.54e-06	4.99e-05	1.36e-05	1.82e-05	3.18e-05	2.72e-05	8.17e-05
k__Bacteria;p__[Caldithrix]	2.72e-05	0	0	0	1.36e-05	4.54e-06	4.54e-06	0	0	4.54e-06	0	0	4.09e-05	0	0	0	4.54e-06	1.36e-05
k__Bacteria;p__[Thermi]	0	9.08e-06	2.72e-05	0	0	0	0	0	2.27e-05	9.08e-06	0	9.08e-06	0.001861462	2.27e-05	0	2.27e-05	0	4.54e-06
Richness_Avg	-0.349576103782625	-0.0627697047763139	0.00507376366552199	0.818188915930229	1.02294945007913	-0.0733562679837218	1.03353601328654	1.45513471003223	-1.5870111468569	-1.79948794362529	0.668821455465153	-1.54130999723619	-0.817882419186353	-0.752163718712201	-0.424241195699656	0.630426525522796	0.853601715391627	0.920065948486018
PD_Avg	0.122176468203427	0.293442447752545	0.459403728820053	0.660982271121227	0.921670310788911	-0.124870918225832	0.811029456743905	1.59536701795336	-1.52076443295802	-1.86784327646907	0.266161141275694	-1.75265553801125	-0.660645464868426	-0.838731771036757	-0.546973354548215	0.366192598357479	0.998967345806654	0.817091969294316
Temperature	-0.713203941612724	-0.747881604900214	-0.671590745667735	-0.768688202872709	-0.720139474270222	-0.0196506758629112	-0.754817137557712	-0.817236931475195	0.680838122544399	2.06794465404402	-0.227716655587855	0.52825640407944	2.28988169908396	0.673902589886901	1.00680815744681	-0.186103459642866	-0.851914594762686	-0.768688202872709
OrganicMatter_500	-0.7372722700275	-0.510120576562806	3.19419934763067	0.0402854499093368	1.14109750285362	-0.0383439824438265	-0.553803594536786	-0.746008873622296	-0.798428495191072	1.06246807050046	-0.580013405321174	-0.553803594536786	-0.457700954994031	0.835316377035766	-0.239285865124133	-0.151919829176174	-0.54506699094199	-0.361598315451276
NO3N_ppm	-0.259758775550108	-0.264116331896708	-0.277189000936508	-0.255401219203508	-0.0418809582201013	-0.255401219203508	-0.259758775550108	-0.264116331896708	-0.155177423231705	3.99757377507822	-0.268473888243308	-0.281546557283108	-0.0898140780327027	-0.251043662856908	-0.242328550163707	-0.268473888243308	-0.285904113629709	-0.277189000936508
NH4N.ppm	-0.266939458806868	-0.256117588855238	-0.230866558968102	-0.165935339258323	-0.165935339258323	-0.230866558968102	-0.202008239097089	-0.241688428919732	-0.248903008887485	4.00409188210302	-0.256117588855238	-0.274154038774621	-0.284975908726251	-0.248903008887485	-0.202008239097089	-0.303012358645634	-0.227259268984226	-0.198400949113213
pH	-0.251623766882435	-0.778278162682879	-0.462285525202613	-0.356954646042524	-0.883609041842969	-0.251623766882435	-0.356954646042524	1.11767766219872	-0.883609041842969	-0.988939921003057	-0.251623766882435	-0.146292887722346	3.2242952454005	0.0643688705978319	0.27503062891801	0.696354145558365	0.801685024718454	-0.567616404362701
SulfateSulfur_ppm	-0.797707586792774	1.99139951523088	-0.642757192235904	0.338595306624271	-0.539456929197991	-0.642757192235904	-0.126255877046338	-0.436156666160078	3.02440214561001	0.235295043586358	-0.436156666160078	-0.487806797679034	0.596845964219054	-0.591107060716948	-0.177906008565295	-0.436156666160078	-0.539456929197991	-0.332856403122165
K_ppm	-0.428015106670736	-0.833503102464064	-0.659722532838352	-0.48594196321264	0.0353997456644971	0.209180315290209	-0.138380823961215	-0.891429959005968	0.325034028374018	0.846375737251154	-0.717649389380256	-1.06521052863168	-0.312161393586927	0.904302593793058	0.0933266022064012	-0.543868819754544	3.27930371201113	0.382960884915922
Ca_ppm	-0.365609162268	-0.579637171015588	1.57174066506202	-0.509879894090448	-0.57329560038603	-0.497196752831332	-0.549514710525187	0.422330988454603	-0.533660783951291	-0.284754136741133	-0.511465286747838	-0.592320312274704	3.36164897525482	-0.048530630790091	-0.318047382546313	0.114764812921032	0.360500674816411	-0.467074292340931
Mg_ppm	-0.162133704271825	-0.933033581186916	3.14172291107857	-0.437455088884357	-0.492519365806864	-0.327326535039344	-0.602647919651877	1.78347074699007	-0.584293160677708	0.00305912649569489	-0.602647919651877	-0.731131232471059	0.810668521359124	-0.107069427349318	-0.364036052987682	-0.253907499142669	0.0581234034182014	-0.198843222220162
Fe_ppm	-0.572052124439404	-0.470425334494627	-0.515178416305171	0.533721938629447	0.508548330111016	-0.320316039255095	-0.00984153419444815	-0.311924836415618	-0.874135426660574	3.71119074717805	-0.273698245702446	0.376153796421491	-0.3995662882946	-0.0676475981997338	-0.155289050078715	-0.27183353396034	-0.572052124439404	-0.31565425989983
Iron_ppm	-0.572052124439404	-0.470425334494627	-0.515178416305171	0.533721938629447	0.508548330111016	-0.320316039255095	-0.00984153419444815	-0.311924836415618	-0.874135426660574	3.71119074717805	-0.273698245702446	0.376153796421491	-0.3995662882946	-0.0676475981997338	-0.155289050078715	-0.27183353396034	-0.572052124439404	-0.31565425989983
