Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrosocaldales	0	0	0	0	0	0	0	0	0	0	0	0	0.000104423	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	0.001979506	0.001457388	0.000948892	0.000513037	0.001080556	0.000276949	0.00030873	0.001648075	0.001053315	0.000758205	0.001112337	0.001679856	0.00361396	0.005053188	0.002896616	0.008054228	0.004976005	0.001766119
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__	0	0	0	0	0	0	0	0	0	0.000531198	0	0	0	0	0.000394993	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales	0	0	0	0	0	0	0	0	0	0	0	0	0.000354132	0	5.45E-05	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales	0	0	0	0	0	0	0	0	0	1.82E-05	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA	4.99E-05	1.36E-05	3.18E-05	4.54E-06	4.09E-05	4.54E-05	4.09E-05	1.36E-05	0.162650903	0.011863414	9.08E-06	0.000640161	0	2.27E-05	0.000108964	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	1.36E-05	0	1.36E-05	0	4.54E-06	0	0	0	4.54E-06	0	0	0	4.54E-06	0	0	0	0	4.54E-06
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	1.36E-05	1.82E-05	0	0	0	0	4.54E-06	0	0	4.54E-06	1.82E-05	9.08E-06	4.54E-06	1.36E-05	0	0	0	4.54E-06
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	0.000717344	0.000581139	0.000513037	0.001411987	0.000803607	0.00813141	0.000422234	0.000381373	0.001411987	0.000467636	8.17E-05	0.000263329	0.000372292	0.000204307	0.000227008	0.001307563	0.000122584	0.00030419
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	0	0	0	0	0	0	0	0	0	0.001607213	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114	0	1.82E-05	4.54E-06	0	0	0	0	0	0	4.54E-06	0	0	4.54E-06	0	0	0	0	0
k__Bacteria;Other;Other;Other	1.82E-05	4.99E-05	6.36E-05	2.27E-05	5.45E-05	9.08E-06	4.54E-06	4.54E-05	9.08E-06	0	4.09E-05	0	4.99E-05	1.36E-05	2.72E-05	2.72E-05	1.82E-05	1.82E-05
k__Bacteria;p__;c__;o__	6.36E-05	0	9.08E-06	1.36E-05	4.54E-06	0	3.18E-05	8.63E-05	0.000281489	0	9.08E-06	0	9.08E-06	4.54E-06	9.08E-06	9.08E-06	4.54E-06	9.08E-06
k__Bacteria;p__AD3;c__ABS-6;o__	2.72E-05	4.54E-06	4.54E-06	1.82E-05	0	0	2.27E-05	4.54E-06	0	4.54E-06	1.36E-05	0	0	3.18E-05	0	9.08E-06	0	0
k__Bacteria;p__AD3;c__JG37-AG-4;o__	0.000526657	0.000195226	0.000163445	0.001693476	0.000622001	3.63E-05	0.000622001	1.82E-05	0.000762745	4.54E-06	0.001071476	0	0	0.000195226	2.72E-05	0.000122584	6.36E-05	0.000562979
k__Bacteria;p__Acidobacteria;Other;Other	1.82E-05	1.36E-05	9.08E-06	8.63E-05	2.27E-05	0.000131664	3.18E-05	0	8.63E-05	0	9.08E-06	0.000576599	3.18E-05	4.09E-05	0.000104423	1.36E-05	1.82E-05	4.99E-05
k__Bacteria;p__Acidobacteria;c__;o__	0.000544818	0.000322351	0.000181606	4.99E-05	0.000326891	9.53E-05	9.53E-05	0.004417567	0.000245168	0.000145285	7.72E-05	6.36E-05	0.000449475	9.99E-05	0.000213387	8.63E-05	0.004413027	0.000413154
k__Bacteria;p__Acidobacteria;c__AT-s2-57;o__	0	1.36E-05	0	0	2.27E-05	0	4.54E-06	0	1.82E-05	0	0	0	0	0	0	0	0	4.54E-06
k__Bacteria;p__Acidobacteria;c__AT-s54;o__	0	9.08E-06	0	0	0	0	0	0.000208847	4.54E-06	0	0	0	1.36E-05	0	0	0	4.09E-05	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__	0.01021988	0.007559351	0.012321969	0.003818267	0.005943057	0.00300558	0.005443641	0.019300181	0.003654821	0.002488003	0.003545858	0.004971465	0.006805686	0.005139451	0.003836427	0.007273322	0.010973545	0.008344797
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other	0	0	0	0	0	0	0	9.08E-06	4.54E-06	0	0	0	0	0	0	0	9.08E-06	4.54E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015	0	2.72E-05	1.36E-05	0	0	0	9.08E-06	9.08E-06	9.08E-06	4.54E-06	0	0	5.90E-05	0	1.36E-05	9.08E-06	0	9.08E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21	0.000276949	0.000367752	0.000158905	8.17E-05	0.000449475	8.17E-05	8.17E-05	0.003709303	8.17E-05	6.81E-05	0.000190686	9.08E-06	0.000208847	4.54E-05	8.17E-05	0.000213387	0.001257622	0.000281489
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.011250494	0.009811266	0.009252827	0.007409526	0.007237	0.004499289	0.005802313	0.051998347	0.004022574	0.002456222	0.002873915	0.001679856	0.008789732	0.003423274	0.003504996	0.005765992	0.037846697	0.00844014
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0.08549558	0.101817422	0.148526494	0.225141539	0.162977794	0.130928869	0.187762477	0.017974457	0.019422765	0.021089001	0.20169166	0.137807198	0.007591132	0.091938054	0.079112128	0.238080969	0.068819606	0.1294397
k__Bacteria;p__Acidobacteria;c__BPC102;o__	0	0	0	0	0	0	0	0.000127124	0	0	0	0	0	2.72E-05	0	0	3.63E-05	0
k__Bacteria;p__Acidobacteria;c__BPC102;o__B110	0.002279156	0.001843301	0.000921651	0.000267869	0.00091711	0.000122584	0.000276949	0.000340511	0.000735504	0.000499417	0.000158905	0.000263329	0.001330264	0.000385913	0.000567519	0.000490336	0.000149825	0.00121676
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40	0.000740045	0.000721884	0.000417694	4.54E-05	0.000431314	9.99E-05	0.000104423	0.000231548	0.000331431	0.000136205	6.36E-05	9.08E-05	0.000503957	0.000240628	0.000213387	0.00029511	8.17E-05	0.000558439
k__Bacteria;p__Acidobacteria;c__DA052;o__E29	0	0	0	0	0	1.36E-05	0	0	0	0	0	4.54E-06	0.025974203	0	0	0	1.36E-05	0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	0.08217219	0.094884612	0.087883699	0.125258221	0.109077124	0.10868213	0.065441734	0.006342591	0.223452603	0.049178914	0.026664306	0.050763426	0.013752117	0.006596839	0.035794549	0.019754196	0.029819711	0.134515589
k__Bacteria;p__Acidobacteria;c__EC1113;o__	1.82E-05	6.36E-05	0.001475549	0.0011986	0.000376833	0.000399533	0.001094176	0.001184979	4.54E-06	0.000122584	6.81E-05	0.000767285	0.001607213	0.000703723	0.002260995	0.000749125	0.000549358	0.000267869
k__Bacteria;p__Acidobacteria;c__GAL08;o__	0	0	0	0	0	0	0	0	0	0	0	0	0.002524324	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales	0.00060384	0.000562979	0.000231548	0.000131664	0.000249708	0.000127124	0.000195226	0.00028603	0.000431314	0.000145285	7.26E-05	5.45E-05	0.000349592	0.000181606	0.000108964	0.000140745	5.90E-05	0.00029965
k__Bacteria;p__Acidobacteria;c__OS-K;o__	0	4.54E-06	0	0	1.82E-05	0	0	0	0	0	0	0	4.99E-05	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__	0.001221301	0.001611754	0.000658322	0.000136205	0.000821767	0.000172526	0.000204307	0.006487876	0.000463095	0.000354132	9.99E-05	0.000167986	0.001271242	0.000376833	0.000567519	0.000481256	0.003432354	0.001003373
k__Bacteria;p__Acidobacteria;c__RB25;o__	0.001166819	0.001089636	0.000549358	0.000158905	0.000472176	8.63E-05	0.000145285	0.008340257	0.000535738	0.000258789	0.000108964	0.000140745	0.000712804	0.000331431	0.000385913	0.000467636	0.006247248	0.000971592
k__Bacteria;p__Acidobacteria;c__S035;o__	0.00031327	0.000199767	5.90E-05	1.82E-05	9.53E-05	3.18E-05	2.27E-05	0.000749125	7.72E-05	8.17E-05	2.72E-05	5.45E-05	0.000154365	7.72E-05	7.26E-05	4.99E-05	0.000703723	0.000154365
k__Bacteria;p__Acidobacteria;c__Solibacteres;Other	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0	0	9.08E-06	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99	0.000158905	4.99E-05	0.00028603	6.81E-05	0.000376833	0.011600085	5.45E-05	0.000227008	3.18E-05	1.36E-05	4.54E-06	9.08E-06	4.99E-05	5.90E-05	2.27E-05	2.72E-05	5.45E-05	0.000108964
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.025915181	0.041220029	0.063666535	0.070249754	0.072129376	0.087139115	0.093853998	0.023268273	0.004231421	0.090893819	0.097590542	0.095588335	0.019835919	0.065868508	0.095520233	0.059248968	0.032044385	0.047489978
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	0.000535738	0.000431314	0.000631081	0.0036185	0.001057855	0.000145285	0.001248541	0.00631535	0.000213387	0.000127124	6.36E-05	4.99E-05	0.000345051	0.000167986	0.000440395	0.000567519	0.001076016	0.00392723
k__Bacteria;p__Acidobacteria;c__TM1;o__	0.005207553	0.004458428	0.028711914	0.004231421	0.012839547	0.00420872	0.009298229	0.001057855	0.067947897	0.168471377	0.001384746	0.099656311	0.000154365	0.084678353	0.053514758	0.003781946	0.000227008	0.000281489
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__	4.54E-06	1.36E-05	0	0	0	0	4.54E-06	9.08E-06	0	0	0	0	0.001743418	0.000158905	4.09E-05	9.53E-05	0.000113504	9.08E-06
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24	0.000935271	0.000740045	0.002456222	0.000118044	0.000853548	0.000245168	0.000145285	0.004099756	0.000349592	0.000208847	0.000140745	0.000158905	0.005811393	0.000376833	0.000213387	0.001720717	0.001293943	0.000758205
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100	2.72E-05	5.45E-05	3.63E-05	0	9.08E-06	4.54E-06	0	0.000204307	2.27E-05	4.54E-06	4.54E-06	1.36E-05	4.54E-05	1.82E-05	2.27E-05	2.27E-05	0.000136205	6.36E-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__Ellin7246	0	0	9.08E-06	4.54E-06	0	0.000272409	0.000254248	6.36E-05	0	0	0.001175899	0	0	0.001026074	0.001702557	0.002901156	0.000435854	4.54E-06
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29	0.000326891	0.000213387	0.000131664	2.27E-05	0.000154365	3.18E-05	1.36E-05	0.001448308	0.000122584	3.63E-05	4.09E-05	3.63E-05	0.005761451	5.45E-05	4.99E-05	0.005016867	0.00088987	0.000145285
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	0.00332339	0.003682062	0.001625374	0.000481256	0.001947725	0.000349592	0.00059476	0.002083929	0.001648075	0.000871709	0.00030873	0.000671942	0.004935144	0.001416527	0.002247375	0.001679856	0.00631989	0.00270593
k__Bacteria;p__Acidobacteria;c__iii1-8;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__	0	0	0	0	0	0	0	6.81E-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20	0.000272409	0.000372292	0.000140745	5.45E-05	9.99E-05	2.72E-05	2.72E-05	0.000640161	6.81E-05	0.000108964	1.82E-05	3.63E-05	0.000204307	6.36E-05	0.000131664	5.45E-05	0.00149825	0.000149825
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18	0.001393826	0.000553898	0.00029965	0.000354132	0.000267869	2.72E-05	0.000449475	0.001893243	0.00028603	0.000104423	0.000481256	6.81E-05	0.00090803	0.00029057	0.000245168	0.001230381	0.00119406	0.000681023
k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36	0.000122584	0.000213387	1.82E-05	2.72E-05	7.72E-05	9.08E-06	3.18E-05	0.000667402	6.81E-05	4.09E-05	9.08E-06	3.63E-05	8.17E-05	4.54E-05	1.82E-05	6.36E-05	0.000335971	4.54E-05
k__Bacteria;p__Actinobacteria;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	9.08E-05	8.17E-05	9.08E-06	4.09E-05	9.08E-06	1.36E-05	3.63E-05	0.000317811	3.63E-05	1.36E-05	3.18E-05	0	7.72E-05	4.54E-06	4.54E-05	2.27E-05	0.000408614	7.72E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__	4.54E-06	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.024167223	0.055553285	0.018905188	0.031685713	0.018850706	0.028108074	0.026441838	0.018623699	0.020090167	0.032625524	0.057296703	0.002265535	0.005016867	0.017384238	0.00751849	0.033469992	0.031744735	0.02978793
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	1.82E-05	0	0	0	0	9.08E-06	0	9.08E-06	2.72E-05	0	0	0	0	1.36E-05	0	0	1.82E-05	1.82E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	0.000231548	0.000163445	6.81E-05	9.08E-06	0.000127124	9.08E-06	9.08E-06	7.26E-05	8.17E-05	9.08E-06	1.36E-05	2.27E-05	0.000322351	7.26E-05	6.36E-05	7.26E-05	5.90E-05	0.000108964
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__WCHB1-81	0	0	0	0	0	0	0	0	0	0	0	0	1.36E-05	4.54E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__	0	0	0	0	0	0	0	1.36E-05	0	0	0	0	9.08E-06	0	0	6.36E-05	2.27E-05	0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14	0.000631081	0.000780906	0.000231548	0.000158905	0.000417694	2.72E-05	4.09E-05	0.004658195	0.00030419	0.000113504	5.45E-05	8.63E-05	0.001716177	0.000276949	0.000131664	0.001035154	0.004358545	0.000322351
k__Bacteria;p__Actinobacteria;c__OPB41;o__	0.000935271	0.000740045	0.000340511	9.08E-05	0.000485796	6.81E-05	5.90E-05	0.00030873	0.000349592	0.000181606	9.08E-05	0.000140745	0.000667402	0.000190686	0.000272409	0.000399533	0.000167986	0.000744585
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	0.000186146	2.27E-05	6.36E-05	0	4.09E-05	1.36E-05	1.36E-05	0.000140745	4.54E-05	1.36E-05	0	9.08E-06	0.053855269	9.08E-05	0	2.72E-05	2.72E-05	1.36E-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;Other	0	0	0	0	0	0	0	0	9.08E-06	0	0	0	0	0	0	0	4.54E-06	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__	2.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.006111043	0.004095216	0.007763658	0.003486836	0.002147491	0.005502663	0.001620834	0.022105994	0.002524324	0.001289403	0.001021534	0.000517577	0.005489042	0.006356211	0.002769492	0.014183431	0.026282933	0.003028281
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.005834094	0.010692055	0.00751395	0.007359584	0.007473088	0.016498908	0.006964591	0.010900902	0.012576218	0.007563891	0.021343249	0.000422234	0.001643535	0.010347004	0.002633287	0.015368411	0.012803225	0.008253994
k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	0	0	0	0	0	0	0	0	0	0	0	0	6.36E-05	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__;o__	0	0	0	0	0	0	0	0	0	0	0	0	0.00029057	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__0319-6E2;o__	0.000149825	4.54E-05	0.000122584	0.000254248	6.81E-05	9.99E-05	0.000263329	0.000522117	1.82E-05	1.82E-05	0.000217927	0.000717344	0.001112337	0.000154365	0.000195226	0.000426774	0.000267869	4.99E-05
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__FW68	0.000122584	0.000508497	0.001016994	0.000703723	0.001080556	0.000449475	0.001775199	1.82E-05	3.18E-05	0.000367752	0.002247375	6.36E-05	0	0.00030419	4.99E-05	0.000190686	0.000490336	0.0005993
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales	0.000204307	0.000349592	0.000880789	0.000258789	0.000394993	0.002592426	0.000553898	0.000145285	0.006478795	0.003486836	0.000326891	0.000345051	7.72E-05	0.001557272	0.000499417	0.000844468	0.000449475	0.00029057
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__SJA-22	9.53E-05	0	0.000231548	3.18E-05	0	0	9.08E-06	3.63E-05	0	0	1.36E-05	0	0.001847841	0	0	0	0.000136205	0
k__Bacteria;p__Armatimonadetes;c__OPB50;o__	0	0	4.54E-06	4.54E-06	1.82E-05	0	0	0	0	0	4.54E-06	0	0	0	0	0	4.54E-06	1.36E-05
k__Bacteria;p__Armatimonadetes;c__OS-L;o__	0	0	0	0	0	0	0	0	0	0	0	0	0.000122584	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__SHA-37;o__	5.45E-05	2.27E-05	2.72E-05	2.72E-05	2.72E-05	0	4.54E-06	4.54E-06	4.54E-05	0	0	0	2.27E-05	2.27E-05	9.08E-06	0	9.08E-06	7.26E-05
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__GAB-B06	0.000245168	0.000249708	7.72E-05	6.81E-05	0.000213387	6.36E-05	4.54E-05	4.54E-06	0.000136205	8.63E-05	2.72E-05	1.82E-05	0.000199767	7.72E-05	3.63E-05	5.90E-05	2.27E-05	0.000190686
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__RB046	0.001747958	0.001307563	0.000676482	0.000149825	0.00090349	0.000149825	0.000118044	0.000140745	0.000622001	0.000340511	0.000113504	0.000245168	0.000799067	0.000449475	0.00031327	0.000335971	0.000167986	0.001425607
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__TP122	9.08E-06	0	0	0	0	0	0	4.54E-06	1.36E-05	0	0	0	1.36E-05	9.08E-06	0	2.72E-05	0	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	0.000404073	0.000222467	0.001825141	0.000930731	0.00029511	0.000862629	0.000258789	0.000163445	0.000154365	0.000131664	0.000490336	0.000340511	0.0650195	0.000381373	0.001380206	0.000118044	0.000444935	0.001280323
k__Bacteria;p__BHI80-139;c__;o__	4.54E-06	4.99E-05	0.000254248	0.000136205	5.45E-05	4.54E-05	0.000254248	7.26E-05	0	0	7.26E-05	0	0	1.82E-05	9.08E-06	0.000195226	3.18E-05	1.82E-05
k__Bacteria;p__BRC1;c__;o__	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__BRC1;c__NPL-UPA2;o__	0	1.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__BRC1;c__PRR-11;o__	4.54E-05	0.000113504	9.99E-05	0	3.63E-05	0	9.08E-06	1.82E-05	4.54E-05	2.27E-05	9.08E-06	3.18E-05	5.45E-05	9.08E-06	4.54E-05	2.72E-05	4.54E-06	0.000140745
k__Bacteria;p__Bacteroidetes;Other;Other	4.99E-05	9.53E-05	0.00029057	9.08E-06	7.26E-05	4.54E-06	2.72E-05	4.09E-05	6.81E-05	3.18E-05	3.18E-05	3.18E-05	9.08E-06	0	2.27E-05	1.82E-05	3.18E-05	6.36E-05
k__Bacteria;p__Bacteroidetes;c__;o__	0	0	0	0	0	0	0	0.000149825	0	0	0	0	0.000245168	0	0	9.08E-06	0	0
k__Bacteria;p__Bacteroidetes;c__At12OctB3;o__	0	5.45E-05	0.000381373	0.000490336	0.000199767	0.000136205	0.000744585	2.72E-05	0	2.27E-05	0.00029057	0.000113504	5.90E-05	7.72E-05	1.36E-05	0.000145285	0.000331431	0.00030419
k__Bacteria;p__Bacteroidetes;c__BME43;o__	3.18E-05	2.72E-05	9.08E-06	4.54E-06	4.54E-06	0	0	0	0	9.08E-06	1.82E-05	0	1.82E-05	2.72E-05	9.08E-06	9.08E-06	4.54E-06	3.63E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.069069314	0.060057115	0.034736694	0.005575305	0.035549381	0.004971465	0.008344797	0.010378785	0.024471413	0.015931389	0.007118956	0.011159691	0.053678203	0.021570257	0.019390984	0.01925478	0.009352711	0.044053083
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.009134783	0.005230254	0.005439101	0.004676355	0.004299523	0.004939684	0.012321969	0.01774745	0.001979506	0.001076016	0.003046441	0.001180439	0.005066808	0.001747958	0.004049815	0.002537944	0.019005071	0.003986252
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.002483463	0.002501623	0.001684396	0.000227008	0.001339344	0.000258789	0.000490336	0.003050981	0.000849008	0.000576599	0.00030419	0.000417694	0.001893243	0.000658322	0.000721884	0.000776366	0.002238294	0.001657155
k__Bacteria;p__Bacteroidetes;c__SM1A07;o__	0	0	0	0	0	0	0	5.45E-05	0	0	0	0	0	0	0	3.63E-05	4.54E-06	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.010628493	0.008935017	0.016471667	0.012617079	0.015758864	0.005316517	0.028130775	0.022596331	0.003159945	0.003114543	0.010950844	0.002778572	0.007754578	0.004880662	0.005952138	0.009815806	0.017220792	0.01566352
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__	0	4.54E-06	3.18E-05	9.08E-06	1.82E-05	0	0	2.72E-05	1.36E-05	2.27E-05	1.36E-05	0	0.000145285	0	4.54E-06	3.18E-05	0.000145285	1.36E-05
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales]	2.27E-05	1.82E-05	0	0	0	0	0	1.82E-05	0	9.08E-06	0	0	0.000145285	4.54E-06	0	0	0	1.36E-05
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.045369727	0.040311999	0.046768094	0.015636279	0.038981735	0.053655502	0.028534848	0.028430424	0.0373382	0.011786232	0.040470904	0.012144903	0.039953327	0.015295768	0.019935802	0.022187717	0.064851514	0.037887559
k__Bacteria;p__Caldithrix;c__Caldithrixae;o__Caldithrixales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;Other	0	0	0	0	0	0	0	2.27E-05	0	0	0	0	0	0	0	0	1.82E-05	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__	0.000131664	0.000971592	0.000749125	4.99E-05	0.000499417	0.001371126	0.00029511	0.000844468	1.36E-05	0	2.27E-05	0.000122584	3.18E-05	2.72E-05	3.63E-05	4.54E-05	0.00029965	6.81E-05
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	0.003273449	0.002424441	0.010210799	0.004394866	0.009361791	0.013865621	0.01685304	0.006869248	0.000957972	2.72E-05	0.005230254	0.001343885	0.000794526	0.000508497	0.002011287	0.008199512	0.003527697	0.00301466
k__Bacteria;p__Chlorobi;Other;Other	0	0	0	0	0	0	0	1.36E-05	0	0	0	0	0	9.08E-06	0	0	0	0
k__Bacteria;p__Chlorobi;c__;o__	0.000644701	0.000517577	0.001343885	0.002074849	0.000862629	0.000690103	0.004767158	0.00030419	0.000254248	9.08E-05	0.001026074	0.005974838	0.00060838	0.002088469	0.001312104	0.002960178	0.000998833	0.000967052
